Date,CampaignID,Impressions,Reach,Spend_IDR,Conversions,Event_Leads,Revenue_IDR,Channel,Sub_Channel,Objective,Target_CPA_IDR
2024-01-01,TV_001,1597990,1245789,14507143,31.228093172799632,0,17617322,TV,RCTI,Brand_Awareness,500000
2024-01-02,TV_001,587125,504841,6559945,12.482833992233106,0,6599002,TV,RCTI,Brand_Awareness,500000
2024-01-03,TV_001,530876,472996,12080725,22.00082202322345,0,10898440,TV,RCTI,Brand_Awareness,500000
2024-01-05,TV_001,775106,535810,6818249,11.776879573697654,0,6174288,TV,RCTI,Brand_Awareness,500000
2024-01-06,TV_001,1077370,844179,11183340,22.15537968232625,0,10772274,TV,RCTI,Brand_Awareness,500000
2024-01-07,TV_001,1206974,889323,9505735,24.71586817409086,0,11917108,TV,RCTI,Brand_Awareness,500000
2024-01-09,TV_001,1388621,852523,10142344,23.662413613683466,0,9631497,TV,RCTI,Brand_Awareness,500000
2024-01-10,TV_001,597577,528656,6705241,14.46057016392612,0,8556647,TV,RCTI,Brand_Awareness,500000
2024-01-13,TV_001,1755301,1284961,7172065,17.403484422514722,0,7461313,TV,RCTI,Brand_Awareness,500000
2024-01-14,TV_001,634320,553632,11942122,28.533195782077065,0,13836166,TV,RCTI,Brand_Awareness,500000
2024-01-15,TV_001,967566,731500,11625222,25.03508466235892,0,13934836,TV,RCTI,Brand_Awareness,500000
2024-01-16,TV_001,1954376,1627096,6848544,20.56880092717588,0,8332324,TV,RCTI,Brand_Awareness,500000
2024-01-19,TV_001,632738,416845,14218742,31.13170850851114,0,14137035,TV,RCTI,Brand_Awareness,500000
2024-01-20,TV_001,1245468,848667,9903963,16.169315540848583,0,9675745,TV,RCTI,Brand_Awareness,500000
2024-01-22,TV_001,1314044,843980,7809345,22.94722062116092,0,9926506,TV,RCTI,Brand_Awareness,500000
2024-01-24,TV_001,1658367,1093883,14868869,35.538140636865975,0,16699603,TV,RCTI,Brand_Awareness,500000
2024-01-25,TV_001,1560286,1277409,13154614,25.003397232891057,0,14059896,TV,RCTI,Brand_Awareness,500000
2024-01-27,TV_001,774874,665563,10301588,25.05278891619497,0,11629871,TV,RCTI,Brand_Awareness,500000
2024-01-28,TV_001,684638,474656,9970776,24.16557501739244,0,11584981,TV,RCTI,Brand_Awareness,500000
2024-01-29,TV_001,1456336,1261425,12296061,23.93162588995249,0,14086880,TV,RCTI,Brand_Awareness,500000
2024-01-30,TV_001,1569867,1300219,6195942,14.85820750229454,0,7556859,TV,RCTI,Brand_Awareness,500000
2024-01-31,TV_001,1240693,938981,12709671,31.328787484105707,0,16327779,TV,RCTI,Brand_Awareness,500000
2024-02-01,TV_001,661837,403342,5254191,12.91203390598618,0,5810036,TV,RCTI,Brand_Awareness,500000
2024-02-02,TV_001,1262856,1101551,8143559,18.18997579865384,0,10336381,TV,RCTI,Brand_Awareness,500000
